ID,Country,Institution,Description,Contact,Link,Researchers,Students,Others,Accommodation,Funding,Remote work,General funding scheme,Other,Research focus,Natural sciences,Social sciences,Humanities and the arts,Engineering and technology,Medical and health sciences,Agricultural and veterinary sciences,Unspecified,Support period,Additional support,lat,lng
U2,United States,Vanderbilt University School of Medicine,"Offer for a Postdoc or research technician position in Vanderbilt department of Cell and Developmental Biology, Tennessee, USA, studying epithelial plasticity and pancreatic tumorigenesis. Funded. Ukrainians welcome.",Kathleen.DelGiorno@vanderbilt.edu,https://lab.vanderbilt.edu/delgiorno-lab/,1,,,,1,,,,"Ephitelial plasticity, pancreartic tumorigenesis",1,,,,,,,,,36.1432,-86.8028
U3,United States,Brown University Deaconescu Laboratory,We are currently seeking one research assistant. Ukrainians are welcome to apply. This would be a great training opportunity in biochemistry and structural biology. Please inquire with Alexandra Deaconescu directly.,alexandra_deaconescu@brown.edu,https://www.deaconesculab.com,1,,,,,,,,"structural biology, biochemistry, microbiology, X-ray crystallography, cryo-electron microscopy",1,,,,,,,,,41.8188,-71.4124
U4,United States,Stockwell Laboratory,We are currently accepting applications for:\npostdoctoral fellows\ntechnical assistants and associates\nundergraduate students\ngraduate students \nStudents and researchers from Ukraine are welcome to apply!,bstockwell@columbia.edu,http://www.columbia.edu/cu/biology/StockwellLab/index/,1,1,,,1,,,,Chemical biology,1,,,,,,,,,44.4766,-73.2208
U5,United States,Icahn School of Medicine at Mount Sinai,We currently have open postdoctoral and/or research scientist positions at all levels. Applications from talented computational scientists with excellent communication and writing skills are welcome from Ukraine. We do have a specific position for researchers with strong computer science/ programming expertise and skills who would like to work in biological data visualization area.,zeynep.gumus@mssm.edu,https://labs.icahn.mssm.edu/gumuslab/,1,,,,1,,,,"Computer Science,\nData Visualization, \nGenetics",1,,,1,,,,,,40.7887,-73.9548
U6,United States,"Department of Plant and Microbial Biology, University of California","We have open position for three graduate students, and one postdoctoral researcher. Students and researchers from Ukraine welcome to apply!",cecimartinez@berkeley.edu,https://ceciliamartinezlab.wixsite.com/cmlab,1,1,,,1,,,,"Microbial physiology, methylotrophy, lanthanide biochemistry, biometallurgy",1,,,1,,,,,,37.8737,-122.2669
U7,United States,"UCI School of Medicine, Robert Hunt lab",UCI School of Medicine offers a paid internship to a postdoc or PhD student in neuro science at a Ukrainian university.,robert.hunt@uci.edu,http://www.roberthuntlab.org/,1,1,,,,,,,neuro science,1,,,,,,,,,33.6443,-117.8540
U8,United States,Rutgers Cancer Institute of New Jersey,"If you are a Ukrainian postdoc, PhD or Master's student interested in Leukemia and would like to join our HerranzLab, please contact.",dh710@cinj.rutgers.edu,http://www.herranzlab.org/,1,1,,,1,,,,Leukemia,1,,,,,,,,,40.4965,-74.4508
U9,United States,Center for Infectious Disease Modeling and Analysis,Center for Infectious Disease Modeling and Analysis offers a position to a postdoc with expertise in modeling and public health who is affected by the current situation in Ukraine.,alison.galvani@yale.edu,https://ysph.yale.edu/cidma/,1,,,,1,,,,"Modeling, Public Health",1,,,1,,,,,,41.3046,-72.9325
U10,United States,Carnegie Mellon University,"If you are PhD student, postdoc, or scientist from Ukraine in the field of computational chemistry/data science, contact us. A  short stay in a lab and funding at Carnegie Mellon University possible.",olexandr@olexandrisayev.com,,1,1,,,,,,,"Computational chemistry,\nData science",1,,,,,,,,,40.4434,-79.9487
U11,United States,"University of California, Berkeley","If you are an information security or privacy researcher from Ukraine at any point in your academic career (e.g., intern, PhD student, postdoc, etc.), please feel free to message @nsamarin, he'll be able to get a support for your research.",nsamarin@berkeley.edu,https://nikitasamarin.com/,1,1,,,,,,,"Information security, privacy",,1,,,,,,,,37.8719,-122.2607
U12,United States,Dartmouth College,MA students are welcomed to Dartmouth College. Discipline - comparative literature.,ainsley.e.morse@dartmouth.edu,https://complit.dartmouth.edu/graduate,,1,,1,1,,,,Comparative literature,,,1,,,,,1 year,,43.7044,-72.2887
U13,United States,University of Maryland Baltimore,"This position can be involved in any of the following research directions in my lab: resting state fmri processing, image reconstruction, graph fft, deep learning, brain development, dementia, PET image analysis, substance dependence. Accomodation can be easily found.",ze.wang@som.umaryland.edu,https://www.medschool.umaryland.edu/pi/Ze-Wang-PhD/,1,,,,1,,,,"Engineer, radiology",1,,,1,,,,>=1 year,,39.2892,-76.6261
U14,United States,Dartmouth College,There is a PhD position in Chemistry. Accomodation and funding is possible.,Katherine.A.Mirica@dartmouth.edu,https://chemistry.dartmouth.edu/,,1,,1,1,,,,Chemistry,1,,,,,,,5 years,,43.7051,-72.2881
U15,United States,"Center for Alternatives to Animal Testing (CAAT), Johns Hopkins Bloomberg School of Public Health","Scientific positions any level of experience who has been displaced from their home institutions due to the Ukraine invasion. Preference is given to the following disciplines: toxicology, artificial intelligence, cheminformatics, bioinformatics, developmental biology, stem cell biology, or neuroscience. However, do not hesitate to contact us with other backgrounds as we administer a number of translational programs.",caat@jhsph.edu,https://caat.jhsph.edu/,1,1,,,1,,,,"Toxicology, artificial intelligence, cheminformatics, bioinformatics, developmental biology, stem cell biology, or neuroscience",1,,,,,,,,,39.2979,-76.5924
U16,United States,Stanford University,"Visiting Graduate Student Fellowship in Jewish Studies for one year. All fees covered plus $50000 cost of living stipend. Should be pursuing research in Jewish Studies, broadly defined. Must be currently pursuing a PhD at any Ukrainian univerisity.",sjhammer@stanford.edu,https://jewishstudies.stanford.edu/,,1,,,1,,,,Jewish Studies,,,1,,,,,1 year with potential to renew,,37.4275,-122.1697
U17,United States,Drexel University,"A.J. Drexel Nanomaterials Institute will give the highest priority to applications of Ukrainian students and post-doctoral researchers. PhD, visiting scientist and post-doc positions.",gogotsi@drexel.edu,https://nano.materials.drexel.edu/,1,1,,,1,,,,MXenes and other nanomaterials,,,,1,,,,,,39.9566,-75.1921
U18,United States,University of Alaska Anchorage,"Bortz Virology Group (PI: Eric Bortz, PhD, U. Alaska ebortz@alaska.edu) -- financial and mentorship support for postdoc or junior faculty from Ukraine for 1-3 months for remote work in virology (human or veterinary), bioinformatics, or epidemiology, or with our partners. Mentorship and linking together researchers from US, Ukraine, and EU.",ebortz@alaska.edu,http://epidemicbiosciences.com/,1,1,,,1,,,,Virology: Human and Animal,1,,,,,1,,1-3 months (part-time),,61.1910,-149.8217
U19,United States,University of Wisconsin-Madison,"We have position openings for either graduate/PhD students or postdocs/visiting scientists.  The openings are in any of the subject areas that the lab (silvis.forest.wisc.edu) works in, so ornithology, wildlife ecology, biodiversity conservation, land use, fire, and remote sensing.  The more research experiences the better, but we have flexibility to bring people in at a level that matches their experience.  Some computing experience, e.g., with GIS or statistics etc., would be helpful.",radeloff@wisc.edu,http://silvis.forest.wisc.edu/prospective-students/,1,1,,1,1,,,,"Ornithology, wildlife ecology, biodiversity conservation, land use, fire, and remote sensing",1,,,,,,,3 months - 5 years,,43.0766,-89.4147
