ID,Country,Institution,Description,Contact e-mail,Link to the website,Temporary tuition waiver?,The duration of the tuition waiver (if applicable),Colleges,Bachelor's,Master's,Higher professional,PhD courses,All levels,Enrolment in standard programm,Enrolment in selected courses only,Face-to-face,Remote,Third country nationals,Accommodation,Language courses,Scholarship,Other,Natural Sciences,Social sciences,Humanities and the arts,Engineering and technology,Medical and health sciences,Agricultural and veterinary sciences,Unspecified,Support period,Further support,lat,lng
S1,Spain,IE Business School,"IE Business School will receive students and have them participate in classes, research activities, and potentially to research projects, if they have visa to come to Spain.",antonios.stamatogiannakis@ie.edu,https://www.ie.edu/business-school/programs/doctorates/phd/,1,Until the students can rellocate to their institutions,,,,1,,,,1,1,,,,,,1,,1,,,,,,,,40.4776,-3.6890
S2,Lithuania,Kaunas University of Technology,"Kaunas University of Technology (KTU) is supporting the Ukrainian students fleeing the war by providing them tuition-free studies in the study programmes taught in English. The support extends to the students in all study levels, including those who are currently studying at KTU.",international@ktu.lt,https://en.ktu.edu/news/ktu-offers-free-studies-for-ukrainian-students/?fbclid=IwAR1UOMzdTNZb-rD6idG21PInTaTrWSn6lhpWkhTFgsmkRorzCJkANhYbfzU,1,,,1,1,,,,1,,1,,,1,,1,,1,,,1,,,,,,54.8990,23.9128
S3,Australia,ARC Centre of Excellence for Transformative Meta-Optical Systems,"We offer enrollment at any of five Australian universities, with support that includes scholarships, relocation expenses, and accommodation, as required.",connect@tmos.org.au,https://tmos.org.au/opportunities,1,Will be on a case-by-case basis upon disucssion with enrolling university.,1,1,1,1,,1,1,,1,,,1,,1,,1,,,1,,,,3 months - 3.5 years,We can support you to make this work.,-35.3082,149.1201
S5,Finland,Tampere University,Tampere University offers study opportunities to degree students who arrive in Finland due to the humanitarian crisis caused by the war in Ukraine. The University grants rights to study in Open University and non-degree courses. Students who obtain a right to study are exempt from tuition fees. The rights to study will be granted until 31 July 2023.,studentservices.tau@tuni.fi,https://www.tuni.fi/en/study-with-us/open-higher-education-studies/open-university#paragraph-anchor--2c62e469-f28f-4f81-b3b0-05c6ce5ed3c1,1,The rights to study will be granted until 31 July 2023.,,1,1,,,,,1,1,,,,,,1,,,,,,,1,,,61.4941,23.7792
S6,Switzerland,University of Lucerne,"We are offering temporary enrollment of Ukrainian students to our programmes offering English-taught courses. These programmes include health sciences, economics, political science, computational social sciences and law. The majority of the English-taught courses are at Master's level, however there are also a small number of English-taught courses at Bachelor level too. For PhD students and post docs we may be able to issue letters of invitations for you to be able to continue your research with us. Unfortunately these positions are all unpaid. Tuition fees are waived for Ukrainian nationals and we are currently setting up scholarship funds to compliment the small living allowance provided by the 'protection status S'. We also offer free German language courses.",international@unilu.ch,https://www.unilu.ch/,1,,,1,1,,,,,1,1,,,,1,,,,1,1,,1,,,,,47.0494,8.3125
S7,Italy,University of Urbino,Master degree in “Philosophy of Information” at the “University of Urbino” wants to support at least one student with a full year scholarship in our Master Degree. The scholarship would start immediately and will cover all costs.,eugenio.orsi@gmail.com,https://www.uniurb.it/corsi/1756847,1,12 months,,,1,,,,1,,1,,,,,1,,,1,,,,,,12 moths,,43.7232,12.6369
S8,Germany,Georg-August-University Goettingen,3 scholarships available for the study program SUFONAMA for students from Ukraine,sufonama@science.ku.dk,https://em-sufonama.eu/,,,,1,,,,,1,,1,,,,,,1,1,,,,,,,,,51.5408,9.9374
S9,Canada,University of Toronto,"Our Summer Program for Computer Science Students from Ukraine will run from May to August 2022, and accepts senior undergraduate (Year 3 or higher) and graduate (MSc or PhD) students from Ukrainian universities whose studies are interrupted by the war in Ukraine. The program will take place at the University of Toronto and is supported by the Department of Computer Science and the Vector Institute for Artificial Intelligence. It is intended for students who were enrolled in the current academic year (Fall 2021/Spring 2022) in a Computer Science degree program at their home university in Ukraine. The program will provide on-campus accommodation, a stipend, and will cover travel costs. Citizens of all countries are eligible.",safe@cs.toronto.edu,https://web.cs.toronto.edu/summer-program-for-students-from-ukraine?fbclid=IwAR3aBGV8NO5RODRq5YgdyNo7QOTFclMyjYDBJcOlqQtyxqThB_iLiGIByd8,1,4 months - Summer Program,,1,1,,1,,,,1,,1,,,,1,1,,,,,,,4 months,,43.6609,-79.3959
S10,Ukraine,Kyiv National Linguistic University,"Language course of English. IELTS, CAE, FCE preparation. Academic courses: practical English for Mastership program, Academic Writing, General Theoretical Course of English",svitlana.nahorna@knlu.edu.ua,knlu.edu.us,1,,,,,,,1,1,,,,,,1,,,,,1,,,,,,,50.4276,30.5171
S11,USA,"Raghu Kalluri, MD Anderson Cancer Center, Houston",Scholarship for master's students and PhD student and trainees with PhD/MD to do cancer research,rkalluri@mdanderson.org,https://www.mdanderson.org/research/departments-labs-institutes/labs/kalluri-laboratory.html,1,Duration of the entire time here,,,,,1,,,1,1,,1,,,1,,1,,,,1,,,Support will be for entire time of fellowship or studentship,,29.7048,-95.4079
